index,adress,arrondissement,date,school,lat,long
143,Rue de la Michodière,2,,Non,48.87007394,2.334808381
144,Rue Saint-Luc,18,2021-03-29T20:00:00-04:00,Oui,48.88563008,2.354280465
145,0,18,,Non,48.89313179,2.342357725
146,,13,2020-10-01T22:00:00-04:00,Oui,48.83234905,2.358689161
147,0,20,,Non,48.87309555,2.389749686
148,0,10,,Non,48.87214912,2.362264419
149,0,17,,Non,48.88859353,2.30759097
150,0,20,2008-02-07T20:00:00-05:00,Non,48.86814441,2.393552345
151,Beaubourg,4,2021-12-02T20:00:00-05:00,Non,48.85843512,2.349233661
152,Rue du Colonell Moll,17,2022-02-03T20:00:00-05:00,Oui,48.87805525,2.289969579
153,0,18,2015-05-21T22:00:00-04:00,Non,48.88850712,2.362468766
154,,5,2020-12-21T19:00:00-05:00,Oui,48.8516146,2.345217648
155,0,16,,Non,48.86140877,2.289586784
156,Rue Emile Bollaert,19,,Non,48.89978617,2.377183565
157,0,19,,Non,48.88736697,2.39241138
158,Square Leibniz,18,2021-07-05T20:00:00-04:00,Non,48.89654189,2.332176711
159,Rue Jean-Pierre Timbaud,11,2021-08-12T20:00:00-04:00,Non,48.86570796,2.3696853
160,Berges de Seine Rive droite (circulation des véhicules terrestres interdite),1,2018-03-08T20:00:00-05:00,Non,48.85795111,2.343610907
161,Rue du Général Renault,11,2022-03-17T21:00:00-04:00,Oui,48.86132986,2.378253281
162,Impasse de la Grosse Bouteille,18,,Non,48.89491294,2.339583443
163,,15,2020-08-27T22:00:00-04:00,Oui,48.84005298,2.287640029
164,0,19,2009-10-26T21:00:00-04:00,Non,48.88739633,2.370944164
165,0,12,,Non,48.84688015,2.37086216
166,0,3,,Non,48.86468158,2.356083187
167,0,17,,Non,48.89723944,2.326993554
168,0,19,2009-10-26T21:00:00-04:00,Non,48.88826547,2.371932374
169,0,19,,Non,48.87975762,2.393344108
170,Rue Bretonneau,20,2020-09-14T20:00:00-04:00,Oui,48.86736025,2.402527836
171,,19,2020-10-19T20:00:00-04:00,Oui,48.88621596,2.379811392
172,0,20,2012-11-08T20:00:00-05:00,Non,48.86588655,2.396118308
173,0,19,2006-07-06T22:00:00-04:00,Non,48.87569452,2.383358169
174,0,5,2009-12-14T20:00:00-05:00,Non,48.851145,2.349524003
175,Passage Championnet,18,,Non,48.89561294,2.347126313
176,0,19,,Non,48.87857536,2.394501406
177,0,19,,Non,48.88520926,2.3919981
178,0,12,2018-11-08T20:00:00-05:00,Non,48.84871931,2.376277955
179,0,8,,Non,48.86887597,2.304850875
180,0,4,2014-09-18T20:00:00-04:00,Non,48.85357959,2.348103749
181,0,14,2009-12-10T20:00:00-05:00,Non,48.83538673,2.316322951
182,Impasse de la Baleine,11,,Non,48.86719712,2.377681188
183,0,10,2014-02-13T20:00:00-05:00,Non,48.87662602,2.363386302
184,Rue du Petit Musc,4,2021-12-20T20:00:00-05:00,Oui,48.8521728,2.363464015
185,Rue Audran,18,2021-07-29T20:00:00-04:00,Non,48.88511375,2.335887293
186,Rue Chernoviz,16,2022-03-31T20:00:00-04:00,Oui,48.85716555,2.282018792
187,Avenue Van Dyck,8,2022-07-18T22:00:00-04:00,Oui,48.87829769,2.305880147
188,,12,2020-09-14T20:00:00-04:00,Oui,48.8447407,2.412091374
189,0,12,2007-10-11T22:00:00-04:00,Non,48.8498653,2.380642888
190,Rue Cujas,5,2021-08-26T20:00:00-04:00,Oui,48.84806606,2.341998373
191,0,18,2006-06-12T22:00:00-04:00,Non,48.88333796,2.343705786
192,0,10,,Non,48.87687759,2.364226605
193,Zone Reuilly,12,,Non,48.84260691,2.387259849
194,0,14,2013-12-12T20:00:00-05:00,Non,48.83382818,2.320368834
195,0,5,2009-12-14T20:00:00-05:00,Non,48.84106907,2.349109445
196,Rue Pierre Foncin,20,2020-09-14T22:00:00-04:00,Oui,48.87145847,2.409970029
197,0,19,,Non,48.88221337,2.394745134
198,0,5,,Non,48.84948826,2.342736029
199,0,16,,Non,48.86939156,2.271986111
200,0,7,,Non,48.8631095,2.316253193
201,,13,2020-10-01T22:00:00-04:00,Oui,48.83166625,2.37159799
202,0,20,,Non,48.87160071,2.383285741
203,0,19,2014-09-29T22:00:00-04:00,Non,48.88904298,2.375783369
204,0,20,2010-10-07T22:00:00-04:00,Non,48.86564849,2.393806022
205,0,18,2013-08-08T22:00:00-04:00,Non,48.88904784,2.354935712
206,0,20,,Non,48.85457081,2.400938621
207,Rue Duméril,13,2022-04-28T22:00:00-04:00,Non,48.83771517,2.357419343
208,Avenue du Maréchal Lyautey,16,,Non,48.85101849,2.259278303
209,0,20,2007-05-28T22:00:00-04:00,Non,48.87464824,2.39392828
210,Rue de Tourtille- rue Lesage,20,,Non,48.87201992,2.381185099
211,0,5,,Non,48.85281452,2.345483447
212,Passage Saint-Ange,17,2021-07-05T20:00:00-04:00,Oui,48.89636741,2.327785113
