index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
29557,175000,64 rue du pre st gervais 75019,19,23,1,7609,48.878729,2.397747,284,90,356,94,95,187,269
29558,235000,64 rue du pre st gervais 75019,19,32,1,7344,48.878729,2.397747,284,90,356,94,95,187,269
27120,275000,75 rue vauvenargues 75018,18,28,1,9821,48.896763,2.329996,358,15,340,942,943,187,158
27121,267500,75 rue vauvenargues 75018,18,29,1,9224,48.896763,2.329996,358,15,340,942,943,187,158
27122,252000,75 rue vauvenargues 75018,18,30,1,8400,48.896763,2.329996,358,15,340,942,943,187,158
27123,340000,75 rue vauvenargues 75018,18,41,2,8293,48.896763,2.329996,358,15,340,942,943,187,158
27124,262000,75 rue vauvenargues 75018,18,32,1,8188,48.896763,2.329996,358,15,340,942,943,187,158
23571,530350,3 rue salneuve 75017,17,44,3,12053,48.884715,2.314604,340,57,336,193,194,187,38
32592,520450,6 rue jean baptiste dumay 75020,20,49,2,10621,48.874112,2.387999,690,22,334,533,534,187,147
1386,468500,30 rue de turbigo 75003,3,35,2,13386,48.86448,2.352207,381,40,328,472,473,187,57
30102,622500,11 av simon bolivar 75019,19,53,3,11745,48.874058,2.383881,438,63,322,319,320,187,173
30103,575000,11 av simon bolivar 75019,19,55,3,10455,48.874058,2.383881,438,63,322,319,320,187,173
19331,312500,47 rue rouelle 75015,15,25,2,12500,48.849544,2.28968,931,78,314,715,716,187,137
19332,235000,47 rue rouelle 75015,15,20,1,11750,48.849544,2.28968,931,78,314,715,716,187,137
